train_per_domain,setting,metric,n,mean,std,ci95_low,ci95_high,median,min,max,scope,heldout_domain
80,,mAP50_B,3,0.0714099999999999,0.014997969862618,0.0341529774645755,0.1086670225354244,0.0792,0.05412,0.08091,lodo_domain,China_MotorBike
80,,mAP50_95_B,3,0.0206533333333333,0.0036682738901741,0.0115408358257226,0.029765830840944,0.01987,0.01744,0.02465,lodo_domain,China_MotorBike
80,,precision_B,3,0.1514466666666666,0.0319959908946938,0.0719642190603374,0.2309291142729958,0.13642,0.12973,0.18819,lodo_domain,Czech_Republic
80,,recall_B,3,0.1423766666666666,0.038855889300508,0.0458532867316785,0.2389000466016548,0.15865,0.09803,0.17045,lodo_domain,Czech_Republic
80,,mAP50_B,3,0.10466,0.0320466332084979,0.0250517499121399,0.1842682500878601,0.11368,0.06907,0.13123,lodo_domain,Czech_Republic
80,,mAP50_95_B,3,0.03582,0.0092017878697566,0.0129614917372108,0.0586785082627891,0.03795,0.02574,0.04377,lodo_domain,Czech_Republic
80,,precision_B,3,0.14568,0.0360783411481182,0.0560564321765658,0.2353035678234341,0.14851,0.10827,0.18026,lodo_domain,India
80,,recall_B,3,0.07815,0.0182299670871891,0.032864251274746,0.1234357487252539,0.06963,0.06574,0.09908,lodo_domain,India
80,,mAP50_B,3,0.0414966666666666,0.0125192505100478,0.0103971243518072,0.072596208981526,0.03896,0.03044,0.05509,lodo_domain,India
80,,mAP50_95_B,3,0.0154066666666666,0.0061109273709751,0.0002262815306599,0.0305870518026733,0.0139,0.01019,0.02213,lodo_domain,India
80,,precision_B,3,0.24144,0.0713250958639384,0.0642586395701831,0.4186213604298169,0.25733,0.16351,0.30348,lodo_domain,Japan
80,,recall_B,3,0.1588966666666666,0.0366937056364348,0.067744448711333,0.2500488846220002,0.17401,0.11706,0.18562,lodo_domain,Japan
80,,mAP50_B,3,0.1038133333333333,0.0628905687152957,-0.0524155001257583,0.260042166792425,0.11737,0.03525,0.15882,lodo_domain,Japan
80,,mAP50_95_B,3,0.03752,0.0257778645352946,-0.0265157654205167,0.1015557654205167,0.04218,0.00973,0.06065,lodo_domain,Japan
80,,precision_B,3,0.13677,0.0687125054120427,-0.0339213259629039,0.307461325962904,0.14315,0.06509,0.20207,lodo_domain,Norway
80,,recall_B,3,0.0828999999999999,0.0320282953027475,0.0033373037953688,0.1624626962046311,0.09949,0.04598,0.10323,lodo_domain,Norway
80,,mAP50_B,3,0.0460066666666666,0.0243968119501981,-0.0145983739453017,0.1066117072786351,0.04635,0.02144,0.07023,lodo_domain,Norway
80,,mAP50_95_B,3,0.01661,0.0062268852566913,0.0011415595071109,0.0320784404928891,0.01962,0.00945,0.02076,lodo_domain,Norway
